,Province,Lat,Long_,State,Mass gathering restrictions,Initial business closure,Educational facilities closed,Non-essential services closed,Stay at home order,Travel severely limited,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,after_policy1,after_policy2,after_policy3,after_policy4,after_policy5
10,Georgia,5216.556611,-13288.81136,Georgia,3/24/2020,3/24/2020,3/18/2020,,4/3/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,31,42,73,99,121,146,197,287,485,555,621,772,1026,1247,1525,2000,2366,2651,2808,3929,4638,5348,5831,6160,6647,7314,8822,9901,10566,11485,12159,12452,13315,14578,14987,15669,17194,17669,18301,19407,19881,21214,21883,22491,23222,23486,24302,24922,25775,26264,27489,2.83,2.83,5.33,0,0.97
11,Hawaii,105.141415,-786.6161824,Hawaii,3/17/2020,3/17/2020,3/19/2020,3/25/2020,3/25/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,2,4,6,8,10,15,25,36,36,53,56,90,91,95,106,149,149,175,204,224,256,319,351,371,387,410,410,442,442,465,499,504,511,524,530,541,574,580,584,586,592,596,601,605,606,607,609,613,618,619,8,8,2.8,1.46,1.46
12,Idaho,1947.589655,-5036.245496,Idaho,3/25/2020,3/25/2020,3/23/2020,3/25/2020,3/25/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,8,9,23,36,42,42,68,81,91,146,205,234,281,340,515,566,776,891,1022,1078,1101,1170,1210,1232,1354,1396,1407,1426,1464,1473,1587,1609,1655,1668,1672,1736,1766,1836,1870,1887,1897,1897,1952,1952,1984,2015,5.22,5.22,4,5.22,5.22
13,Illinois,4064.049006,-9096.189667,Illinois,3/13/2020,3/16/2020,3/17/2020,3/21/2020,3/21/2020,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,25,32,46,64,66,83,161,272,422,585,753,1049,1285,1537,1865,2538,3024,3491,4596,5056,5994,6980,7695,8904,10357,11259,12262,13553,15078,16422,17887,19180,20852,22025,23248,24593,25734,27578,29160,30357,31513,33059,35107,36937,39658,41777,43903,45883,48102,50358,52918,56055,11.72,14.48,8.55,3.64,3.64
14,Indiana,3665.036491,-7932.108297,Indiana,3/12/2020,3/16/2020,3/19/2020,3/24/2020,3/25/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,11,13,13,16,20,25,30,38,60,86,128,204,270,368,477,645,979,1233,1513,1786,2158,2564,3038,3437,3953,4411,4956,5510,5943,6351,6907,7435,7928,8359,8527,8960,9542,10154,10641,11211,11688,12097,12438,13039,13681,14399,15012,15961,16588,17182,17835,18630,3.62,9.8,9.75,4.86,4.38
15,Iowa,4160.961092,-9253.086423,Iowa,3/17/2020,3/17/2020,4/4/2020,3/17/2020,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,17,17,18,23,23,38,44,45,69,90,105,124,146,179,235,298,336,424,497,547,614,699,787,869,946,1046,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,3641,3748,3924,4445,5092,5476,5868,6376,6843,7145,7884,4.39,4.39,0.92,4.39,0
16,Kansas,4040.964784,-10298.87791,Kansas,3/17/2020,,3/17/2020,,3/30/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,8,8,11,18,22,35,48,57,65,84,100,134,172,206,266,330,372,434,485,553,629,698,751,849,912,1046,1116,1117,1275,1344,1390,1441,1504,1615,1730,1821,1905,2048,2164,2331,2721,2959,3135,3277,3473,3652,3839,4413,4634,4.56,0,4.56,0,1.28
17,Kentucky,4514.657262,-10223.98687,Kentucky,3/19/2020,3/16/2020,3/20/2020,3/26/2020,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,14,16,18,21,26,28,50,64,87,103,123,162,197,247,301,380,438,479,628,632,770,770,917,955,955,1149,1149,1341,1693,1693,1963,2018,2048,2210,2435,2522,2707,2960,3050,3204,3378,3479,3779,3915,4085,4156,4375,4537,4708,4882,3.94,4.86,3.7,2.12,0
18,Louisiana,1989.915353,-5876.747946,Louisiana,3/13/2020,3/17/2020,3/16/2020,3/22/2020,3/23/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,29,77,87,115,196,257,392,537,763,837,1172,1388,1795,2304,2744,3315,3540,4025,5237,6424,9149,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,17.52,6.08,9.19,3.23,2.43
19,Maine,715.0030145,-1112.380298,Maine,3/18/2020,3/18/2020,3/16/2020,3/25/2020,4/2/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,17,26,35,52,56,70,89,107,118,142,155,168,211,253,275,303,303,376,432,456,470,499,519,537,560,586,616,633,698,735,770,796,827,847,867,875,888,907,937,965,965,1015,1023,1040,1056,1095,1123,3.06,3.06,5.29,1.13,0.49
